gully,NDVI,Lithology,dist_fault,dist_road,dist_river,soil_textu,Landcover,TWI,TPI,SPI,Slope,Profile_Cu,Plan_Curva,Aspect,DEM,Rainfall
1,0.11467984765,6,21965.100,1709.140,191.087,7,3,8.815590,-2.540540,-10065.600000,5.550720,-0.000064,-0.010761,120.964000,67,570.6710
1,0.13606381631,6,22305.700,1029.040,764.350,4,1,8.646480,-1.216220,1303.450000,3.438910,-0.000043,0.009956,236.310000,101,566.8960
1,0.13959375546,6,22304.900,1377.950,427.284,7,1,8.005720,5.270270,-1424.410000,2.134300,0.000554,0.059629,296.565000,101,569.1070
1,0.14274508291,6,22305.700,1029.040,764.350,4,1,6.819790,3.918920,2604.560000,7.416540,0.001501,0.009515,219.806000,106,567.2490
1,0.13901766610,6,20226.400,955.437,191.087,4,1,8.758900,-0.756757,-19962.700000,5.550720,0.002030,-0.009752,59.036200,89,571.8230
1,0.13355684436,6,18615.100,191.087,382.175,4,3,7.863300,3.108110,474.374000,9.508660,0.002886,-0.008013,264.289000,124,572.5970
1,0.14657035834,6,18268.600,191.087,540.477,4,3,9.100470,-2.918920,-10062.500000,6.017280,0.001038,-0.020555,288.435000,106,572.0420
1,0.14484171504,6,18306.500,604.271,191.087,4,3,8.400560,-0.567568,7551.140000,4.262690,-0.002204,0.014907,296.565000,92,570.5680
1,0.14920029928,6,18402.000,427.284,270.238,4,3,8.735520,-1.351350,-5846.680000,5.385980,-0.000274,0.002946,225.000000,91,571.0240
1,0.14354476272,2,7276.390,1114.220,270.238,4,1,8.552050,-5.837840,1210.190000,12.638200,-0.001720,0.000821,228.013000,144,603.2100
1,0.14438923568,2,5329.930,382.175,382.175,7,3,6.840630,-2.081080,-1821.140000,12.260100,-0.000113,-0.009670,122.471000,156,604.8370
1,0.13527325220,2,3590.210,688.975,540.477,4,3,9.152130,-7.621620,15550.300000,6.853220,-0.001589,-0.032713,303.690000,200,594.4350
1,0.14669612299,2,4444.580,0.000,0.000,7,1,6.930930,-1.027030,-69.871700,12.536400,-0.003626,-0.007453,347.005000,161,590.1830
1,0.15526811675,2,3763.990,1080.950,854.569,4,6,7.928110,0.135135,433.593000,12.604400,0.003305,-0.005963,243.435000,212,592.6540
1,0.14196696590,2,5554.700,191.087,191.087,4,3,7.355630,-2.837840,2969.490000,9.870930,0.000054,0.002871,286.699000,174,580.0080
1,0.12237264873,2,5471.910,540.477,270.238,4,3,7.236060,-12.810800,-9969.440000,11.976700,-0.002080,-0.015714,315.000000,182,577.7310
1,0.13300110937,6,12520.200,1080.950,191.087,7,3,8.672820,0.162162,-3544.020000,5.550720,0.000016,-0.000168,120.964000,133,571.3520
1,0.15494528703,6,12747.100,955.437,191.087,4,2,9.476770,0.243243,3738.830000,4.044690,0.000276,-0.003928,135.000000,132,571.7700
1,0.10064307576,6,12705.500,810.715,0.000,4,3,9.219200,-0.756757,953.499000,3.438910,0.001233,0.007112,123.690000,130,571.7720
1,0.14559135170,6,12854.100,810.715,0.000,7,3,8.195860,-0.162162,647.184000,6.379370,0.001418,-0.007950,116.565000,133,572.0210
1,0.14256691412,6,13653.100,955.437,0.000,7,3,8.159720,-3.837840,-8447.820000,2.698950,-0.002215,-0.023570,315.000000,117,571.8710
1,0.12131949263,6,12153.200,787.874,0.000,4,2,9.374760,0.162162,-500.165000,6.091480,0.000759,0.008380,218.660000,137,571.7530
1,0.10977763430,2,9324.200,955.437,787.874,7,3,7.997370,-3.675680,-2413.330000,9.321840,0.000028,-0.003559,156.038000,262,543.7790
1,0.10898594297,2,7836.910,0.000,0.000,7,3,8.341400,1.513510,-1681.410000,5.385980,0.000548,0.017678,45.000000,255,538.1440
1,0.09780277004,2,7026.200,191.087,191.087,7,3,6.474950,-4.378380,153282.000000,7.825530,-0.001589,-0.004280,165.964000,263,535.1970
1,0.11822091474,2,8377.390,191.087,191.087,7,3,7.835310,3.270270,-438.677000,6.017280,0.002240,0.010014,198.435000,248,540.0600
