OBJECTID,gully,NDVI,Lithology,dist_fault,dist_road,dist_river,soil_textu,Landcover,TWI,TPI,SPI,Slope,Profile_cur,Plan_Cur,Aspect,DEM,Rainfall
1,1,0.1888,6,21965.10,1709.14,191.09,7,3,8.359,-0.966,187.004,0.957,-0.004,-0.067,360.000,74.299,348.316
2,1,0.1463,6,22305.70,1029.04,764.35,4,1,6.770,2.370,1494.380,19.356,0.008,0.008,244.654,109.387,347.876
3,1,0.1213,6,22304.90,1377.95,427.28,7,1,6.337,1.187,157.002,9.895,0.005,0.007,16.699,101.367,348.125
4,1,0.1296,6,22305.70,1029.04,764.35,4,1,7.707,1.072,61.057,2.870,0.002,0.067,90.000,112.395,347.919
5,1,0.1643,6,20226.40,955.44,191.09,4,1,8.670,-0.750,2374.770,6.107,-0.002,-0.014,38.660,90.339,348.475
7,1,0.0896,6,18615.10,191.09,382.18,4,3,7.434,0.433,1041.300,10.457,0.003,-0.007,264.806,126.430,348.569
8,1,0.1695,6,18268.60,191.09,540.48,4,3,8.337,0.218,2760.840,4.273,0.000,0.015,243.435,114.400,348.488
9,1,0.1343,6,18306.50,604.27,191.09,4,3,7.385,1.294,655.918,10.202,0.000,0.036,248.199,103.372,348.322
10,1,0.1624,6,18402.00,427.28,270.24,4,3,8.557,0.971,281.121,3.448,0.003,0.036,236.310,103.372,348.378
12,1,0.1865,2,7276.39,1114.22,270.24,4,1,7.002,-0.849,3662.930,12.290,-0.001,0.006,212.471,148.486,352.274
13,1,0.1499,2,5329.93,382.18,382.18,7,3,7.666,-0.643,680.546,6.738,-0.001,-0.022,98.130,165.529,352.486
15,1,0.2436,2,3590.21,688.98,540.48,4,3,8.229,-1.027,4365.580,10.202,-0.002,-0.003,248.199,205.631,351.222
16,1,0.2147,2,4444.58,0.00,0.00,7,1,7.266,0.541,578.698,13.950,0.001,0.007,340.346,168.537,350.705
17,1,0.2600,2,3763.99,1080.95,854.57,4,6,7.402,-0.750,2562.950,12.669,-0.001,-0.013,228.013,214.654,351.005
18,1,0.1870,2,5554.70,191.09,191.09,4,3,7.769,-0.923,810.181,7.435,-0.003,0.031,320.194,179.565,349.469
19,1,0.1829,2,5471.91,540.48,270.24,4,3,7.747,-1.827,2348.880,8.958,-0.008,-0.009,327.995,189.590,349.192
20,1,0.1405,6,12520.20,1080.95,191.09,7,3,8.181,0.326,803.709,11.528,0.001,0.005,55.008,140.466,348.428
21,1,0.1749,6,12747.10,955.44,191.09,4,2,8.286,-0.535,265.273,5.142,0.001,-0.039,201.801,140.466,348.459
22,1,0.1418,6,12705.50,810.72,0.00,4,3,7.591,-1.396,378.543,6.936,-0.004,-0.024,15.945,138.461,348.479
23,1,0.1812,6,12854.10,810.72,0.00,7,3,7.745,-0.502,571.497,4.870,-0.002,-0.001,78.690,139.463,348.489
24,1,0.1769,6,13653.10,955.44,0.00,7,3,7.504,0.756,2809.310,8.958,0.000,0.024,212.005,136.456,348.470
26,1,0.1602,6,12153.20,787.87,0.00,4,2,7.307,0.864,502.141,11.026,0.004,0.003,239.036,145.479,348.457
